member_ID,grad_year
138130,2014
516579,2016
939556,2002
495659,1993
630030,2005
874431,1998
809793,2004
942454,2011
228229,2010
375190,2003
532560,2009
210135,2013
228355,2004
965308,2017
768500,1985
816768,2017
909541,1983
529604,2014
140932,2000
725731,2013
214985,2006
405156,1986
249736,2010
526273,2011
654723,2011
672964,2000
240799,2009
169618,2013
430633,2016
116286,2013
486573,2015
371751,2007
783654,2016
845635,2013
266624,2017
682855,1990
229899,2013
701561,2001
114862,2002
445650,2013
574544,1994
990758,2010
833424,1987
864834,1999
703495,2015
222179,2014
951011,2015
187639,2015
375051,2000
509810,1985
625661,2003
662168,2008
678244,2007
864339,1985
436424,2014
606834,2005
268942,2001
484822,2017
397241,2012
924252,2016
717079,2002
494794,2015
970841,2012
281794,2015
520539,2007
567269,2012
749292,2016
292144,2013
896825,2009
216408,2017
579003,2013
249410,2006
241389,2016
311405,2011
796832,2003
976347,2015
363748,2014
368157,2016
466203,2007
893798,2016
501368,2014
507594,2016
390989,2015
312364,2001
444670,1998
969572,2006
129405,2000
612960,2016
328690,2008
960091,2000
563448,1998
982922,2016
646972,2009
387407,2010
468347,2013
707678,2015
709899,1981
931481,2015
415337,1990
